open_discipline_training_menu;Open discipline training menu;
open_discipline_training_menu_desc;Here you can improve your vampiric powers;
open_gift_training_menu;Open gift training menu;
open_gift_training_menu_desc;Here you can improve your Garou powers;
close_gift_training_menu;Close gift training menu;
close_gift_training_menu_desc;Close gift training menu;
open_ability_training_menu;Open ability training menu;
open_ability_training_menu_desc;Here you can improve your mundane talents, skills and knowledges.;
close_ability_training_menu;Close ability training menu;
close_ability_training_menu_desc;Close ability training menu;
train_martial_1_decision;Improve martial talents.;
train_martial_2_decision;Improve martial talents.;
train_martial_3_decision;Improve martial talents.;
train_martial_4_decision;Improve martial talents.;
train_diplomacy_1_decision;Improve social skills;
train_diplomacy_2_decision;Improve social skills;
train_diplomacy_3_decision;Improve social skills;
train_diplomacy_4_decision;Improve social skills;
train_stewardship_1_decision;Improve administrative skills;
train_stewardship_2_decision;Improve administrative skills;
train_stewardship_3_decision;Improve administrative skills;
train_stewardship_4_decision;Improve administrative skills;
train_intrigue_1_decision;Improve subterfuge and stealth;
train_intrigue_2_decision;Improve subterfuge and stealth;
train_intrigue_3_decision;Improve subterfuge and stealth;
train_intrigue_4_decision;Improve subterfuge and stealth;
train_learning_1_decision;Improve your knowledges;
train_learning_2_decision;Improve your knowledges;
train_learning_3_decision;Improve your knowledges;
train_learning_4_decision;Improve your knowledges;
train_martial_1_decision_desc;Start training your martial talents. This will give you a better  edge in combar and more efficiency in warfare affairs.;
train_martial_2_decision_desc;Start training your martial talents. This will give you a better  edge in combar and more efficiency in warfare affairs.;
train_martial_3_decision_desc;Start training your martial talents. This will give you a better  edge in combar and more efficiency in warfare affairs.;
train_martial_4_decision_desc;Start training your martial talents. This will give you a better  edge in combar and more efficiency in warfare affairs.;
train_diplomacy_1_decision_desc;Start training your social skills. This will help you having an easier time while dealing with other people, either hostile or friendly.;
train_diplomacy_2_decision_desc;Start training your social skills. This will help you having an easier time while dealing with other people, either hostile or friendly.;
train_diplomacy_3_decision_desc;Start training your social skills. This will help you having an easier time while dealing with other people, either hostile or friendly.;
train_diplomacy_4_decision_desc;Start training your social skills. This will help you having an easier time while dealing with other people, either hostile or friendly.;
train_stewardship_1_decision_desc;Start training your haggling, bookkeeping and other economical and administrative talents and knowledges, so that the administration of you domain is more efficient.;
train_stewardship_2_decision_desc;Start training your haggling, bookkeeping and other economical and administrative talents and knowledges, so that the administration of you domain is more efficient.;
train_stewardship_3_decision_desc;Start training your haggling, bookkeeping and other economical and administrative talents and knowledges, so that the administration of you domain is more efficient.;
train_stewardship_4_decision_desc;Start training your haggling, bookkeeping and other economical and administrative talents and knowledges, so that the administration of you domain is more efficient.;
train_intrigue_1_decision_desc;Start training your abilities do deceive, persuade, intimidate and sneak your rivals. In the viper's nest that is the nightly society, those can be unvaluable assets.;
train_intrigue_2_decision_desc;Start training your abilities do deceive, persuade, intimidate and sneak your rivals. In the viper's nest that is the nightly society, those can be unvaluable assets.;
train_intrigue_3_decision_desc;Start training your abilities do deceive, persuade, intimidate and sneak your rivals. In the viper's nest that is the nightly society, those can be unvaluable assets.;
train_intrigue_4_decision_desc;Start training your abilities do deceive, persuade, intimidate and sneak your rivals. In the viper's nest that is the nightly society, those can be unvaluable assets.;
train_learning_1_decision_desc;Start training your research and investigation skill, and collecting lore and knowledge both mundane and occult. This can be helpful in attaining influence in the usually hermetics circles of supernatural society. Knowledge is power, here more than anywhere.;
train_learning_2_decision_desc;Start training your research and investigation skill, and collecting lore and knowledge both mundane and occult. This can be helpful in attaining influence in the usually hermetics circles of supernatural society. Knowledge is power, here more than anywhere.;
train_learning_3_decision_desc;Start training your research and investigation skill, and collecting lore and knowledge both mundane and occult. This can be helpful in attaining influence in the usually hermetics circles of supernatural society. Knowledge is power, here more than anywhere.;
train_learning_4_decision_desc;Start training your research and investigation skill, and collecting lore and knowledge both mundane and occult. This can be helpful in attaining influence in the usually hermetics circles of supernatural society. Knowledge is power, here more than anywhere.;
