vampire_group;Kindred;;;;;;;;;;;;;x
invictus;Invictus;;;;;;;;;;;;;x
invictus_DESC;This covenant makes claim to be the aristocracy of the night;;;;;;;;;;;;;x
lancea_sanctum;Lancea et Sanctum;;;;;;;;;;;;;x
lancea_sanctum_DESC;Covenant seeks to influence Kindred society with the strictures of Longinus, who is believed to have been turned into one of the Damned by the very blood of Christ;;;;;;;;;;;;;x
al-amin;al-Amin;;;;;;;;;;;;;x
al-amin_DESC;Muslim vampire nobility;;;;;;;;;;;;;x
banu_shaitan;Banu Shaitan;;;;;;;;;;;;;x
banu_shaitan_DESC;Devout muslim vampires;;;;;;;;;;;;;x
dammatic_creed;Dammatic;;;;;;;;;;;;;x
dammatic_creed_DESC;Jewish vampires;;;;;;;;;;;;;x
livian;Livian;;;;;;;;;;;;;x
livian_DESC;Vampires who believe the mother of Longinus was also a vampire.  A syncretic heretical merger of the Testament of Longinus with the Circle of the Crone; hated by both.;;;;;;;;;;;;;x
die_nachteulen;Die Nachtuelen;;;;;;;;;;;;;x
gnostic;Gnostic;;;;;;;;;;;;;x
osite;Osites;;;;;;;;;;;;;x
nepheshim;Nepheshim;;;;;;;;;;;;;x
mystikoi;Mystikoi;;;;;;;;;;;;;x
vii;The Betrayed;;;;;;;;;;;;;x
vii_DESC;Covenant of vampires who secretly hunt vampires;;;;;;;;;;;;;x
camarilla_group;The Camarilla;;;;;;;;;;;;;;x
longinus_group;Kindred who follow the Testament of Longinus;;;;;;;;;;;;;;x
sennex;Sennex;;;;;;;;;;;;;;x
sennex_DESC;Cala Senecta: the Wing of Ancients. The leadership and nobility of the Camarilla. This is also the name of the voting governmental body which mirrors the Roman Senate of the mortals.;;;;;;;;;;;;;;x
legio_mortuum;Legio Mortuum;;;;;;;;;;;;;;x
legio_mortuum_DESC;The Legio Mortuum: The Legion of the Dead, the Camarilla’s military arm and strongest means of maintaining its traditions.;;;;;;;;;;;;;;x
cult_of_augurs;Cult of Augurs;;;;;;;;;;;;;;x
cult_of_augurs_DESC;Cala Vaticinium: The Wing of Prophets.  The Cult of Augurs are the dark priesthood of the Camarilla connecting the vampires to the Roman gods and keeping Rome in their good graces.;;;;;;;;;;;;;;x
peregrine_collegia;Peregrine Collegia;;;;;;;;;;;;;;x
peregrine_collegia_DESC;Cala Hospitia: the Wing of Strangers.  Foreigners are not shunned from the Camarilla, but they will never be made full citizens until they fully adopt Roman customs and law. Outsiders band together in this low-caste wing;;;;;;;;;;;;;;x
abrahamic_vampire_group;Monotheistic vampires in the Abrahamic traditions of the Levant;;;;;;;;;;;;;;x
pagan_vampire_group;Pagan vampires;;;;;;;;;;;;;;x
circle_of_the_crone;Circle of the Crone;;;;;;;;;;;;;x
circle_of_the_crone_DESC;Covenant venerates a variety of female figures as an amalgamated creator of vampires, the Mother of all Monsters;;;;;;;;;;;;;x
fuil-beannaithe;Fuil-Beannaithe;;;;;;;;;;;;;x
fuil-beannaithe_DESC;The Blood Blessed of the Celts;;;;;;;;;;;;;x
weihan_cynn;Weihan Cynn;;;;;;;;;;;;;x
weihan_cynn_DESC;The Sacred People of the Saxons, the Woods-Witches;;;;;;;;;;;;;x
unaligned;Unaligned;;;;;;;;;;;;;x
unaligned_DESC;Not a covenant at all, but rather individuals who are independent;;;;;;;;;;;;;x
forsworn_vampire_group;Belial's Brood;;;;;;;;;;;;;x
nameless;Nameless;;;;;;;;;;;;;x
nameless_DESC;The Hidden;;;;;;;;;;;;;x
roaring_serpent;The Roaring Serpent;;;;;;;;;;;;;x
roaring_serpent_DESC;The Archons;;;;;;;;;;;;;x
pandaemonium;Pandaemonium;;;;;;;;;;;;;x
pandaemonium_DESC;The Antinomians;;;;;;;;;;;;;x
mercy_seat;The Mercy Seat;;;;;;;;;;;;;x
mercy_seat_DESC;The Faustians;;;;;;;;;;;;;x
smokeless_throne;The Smokeless Throne;;;;;;;;;;;;;x
smokeless_throne_DESC;The Djinn;;;;;;;;;;;;;x
scarlet_rite;The Scarlet Rite;;;;;;;;;;;;;x
scarlet_rite_DESC;The Hyletics;;;;;;;;;;;;;x
revenant_duolosi;The Duolosi;;;;;;;;;;;;;x
revenant_duolosi_DESC;Servants of the Forsworn;;;;;;;;;;;;;x
corpus_delecti;Corpus Delecti;;;;;;;;;;;;;x
corpus_delecti_DESC;;;;;;;;;;;;;;x
horned_hand;Horned Hand;;;;;;;;;;;;;x
horned_hand_DESC;;;;;;;;;;;;;;x
teeth_of_yamatu;Teeth of Yamatu;;;;;;;;;;;;;x
teeth_of_yamatu_DESC;;;;;;;;;;;;;;x
vii_vampire_group;VII;;;;;;;;;;;;;;x
dammatic_creed;Dammatic Creed;;;;;;;;;;;;;;x
dharmic_vampire_group;Dharmic Kindred from India;;;;;;;;;;;;;;x
asura-dharma;Asura-Dharma;;;;;;;;;;;;;x
asura-dharma_DESC;Hindu Kindred;;;;;;;;;;;;;x
mara-dharma;Mara-Dharma;;;;;;;;;;;;;x
mara-dharma_DESC;These kindred believe they are the daughters of Mara, the demon who tempted the Budhha.;;;;;;;;;;;;;x
prati-vasudeva-dharma;Prati-Vasudeva;;;;;;;;;;;;;x
prati-vasudeva-dharma_DESC;These kindred are the inversion of Jainist beliefs.;;;;;;;;;;;;;x
laibon;Laibon;;;;;;;;;;;;;x
laibon_DESC;The indigenous kindred covenant of Africa.;;;;;;;;;;;;;x
high_clans_group;High Clan Vampires;;;;;;;;;;;;;x
vampire_high_clans;High Clans;;;;;;;;;;;;;x
vampire_high_clans_DESC;Noble vampire clans of Europe: Brujah, Cappadocian, Lasombra, Toreador and Ventrue;;;;;;;;;;;;;x
koldun;Koldun;;;;;;;;;;;;;x
koldun_DESC;The noble Tzimisce vampire clan;;;;;;;;;;;;;x
ventrue_high;Ventrue;;;;;;;;;;;;;x
ventrue_high_DESC;The Ventrue high clan of vampires;;;;;;;;;;;;;x
toreador_high;Toreador;;;;;;;;;;;;;x
toreador_high_DESC;The Toreador high clan of vampires;;;;;;;;;;;;;x
brujah_high;Brujah;;;;;;;;;;;;;x
brujah_high_DESC;The Brujah high clan of vampires;;;;;;;;;;;;;x
lasombra_high;Lasombra;;;;;;;;;;;;;x
lasombra_high_DESC;The Lasombra high clan of vampires;;;;;;;;;;;;;x
cappadocian_high;Cappadocian;;;;;;;;;;;;;x
cappadocian_high_DESC;The Cappadocian high clan of vampires;;;;;;;;;;;;;x
salubri_high;Salubri;;;;;;;;;;;;;x
salubri_high_DESC;The Salubri high clan of vampires;;;;;;;;;;;;;x
ashirra_vampire_group;Ashirra;;;;;;;;;;;;;x
ashirra;Ashirra;;;;;;;;;;;;;x
ashirra_DESC;Islamic vampires;;;;;;;;;;;;;x
assamite;Assamite;;;;;;;;;;;;;x
assamite_DESC;Banu Haqim;;;;;;;;;;;;;x
vampire_low_clans_group;Low Clans;;;;;;;;;;;;;x
vampire_low_clans;Low Clans;;;;;;;;;;;;;x
vampire_low_clans_DESC;The rabble vampire clans of Europe: Gangrel, Malkavian and Nosferatu;;;;;;;;;;;;;x
anarchs;Anarchs;;;;;;;;;;;;;x
anarchs_DESC;Vampire rebels against their established order;;;;;;;;;;;;;x
vampire_promethean;Promethean;;;;;;;;;;;;;x
vampire_promethean_DESC;Vampire Brujah who want to recreate Carthage where kindred and kine live in harmony;;;;;;;;;;;;;x
furores;Furores;;;;;;;;;;;;;x
furores_DESC;The angry ones; a covenant of vampires who have rebelled against their sires;;;;;;;;;;;;;x
tremerelow;Tremere;;;;;;;;;;;;;x
tremerelow_DESC;Warlocks who have become vampires through sorcery;;;;;;;;;;;;;x
anda;Anda;;;;;;;;;;;;;x
anda_DESC;Scions of Itügen. The Gangrel bloodline of Dobrul the Brave, found among Mongols and other Altaic peoples;;;;;;;;;;;;;x 
einherjar;Einherjar;;;;;;;;;;;;;x
einherjar_DESC;Odin's brood, the All-High's chosen warriors of Ragnarok, Norse Gangrel vampires;;;;;;;;;;;;;x
noiad;Noiad;;;;;;;;;;;;;x
noiad_DESC;Children of the Midnight Sun, Gangrel vampires among the Finnish and Uguric peoples;;;;;;;;;;;;;x
baali_group;Baali;;;;;;;;;;;;;x
baali;Baali;;;;;;;;;;;;;x
baali;Devil-worshipping vampires;;;;;;;;;;;;;x
masquerade_camarilla_group;The Camarilla;;;;;;;;;;;;;x
masquerade_camarilla;The Camarilla;;;;;;;;;;;;;x
masquerade_camarilla_DESC;Not all Camarilla vampires are of the seven clans;;;;;;;;;;;;;x
brujahcamarilla;Brujah;;;;;;;;;;;;;x
brujahcamarilla_DESC;Brujah of the Camarilla;;;;;;;;;;;;;x
gangrelcamarilla;Gangrel;;;;;;;;;;;;;x
gangrelcamarilla_DESC;Gangrel of the Camarilla;;;;;;;;;;;;;x
malkaviancamarilla;Malkavian;;;;;;;;;;;;;x
malkaviancamarilla_DESC;Malkavian of the Camarilla;;;;;;;;;;;;;x
nosferatucamarilla;Nosferatu;;;;;;;;;;;;;x
nosferatucamarilla_DESC;Nosferatu of the Camarilla;;;;;;;;;;;;;x
toreadorcamarilla;Toreador;;;;;;;;;;;;;x
toreadorcamarilla_DESC;Toreador of the Camarilla;;;;;;;;;;;;;x
tremerecamarilla;Tremere;;;;;;;;;;;;;x
tremerecamarilla_DESC;Tremere of the Camarilla;;;;;;;;;;;;;x
ventruecamarilla;Ventrue;;;;;;;;;;;;;x
ventruecamarilla_DESC;Ventrue of the Camarilla;;;;;;;;;;;;;x
JUSTICAR;Justicar;;;;;;;;;;;;;x
JUSTICAR_female;Justicar;;;;;;;;;;;;;x
SERAPH;Seraph;;;;;;;;;;;;;x
SERAPH_female;Seraph;;;;;;;;;;;;;x
d_brujahjusticar;Clan Brujah;;;;;;;;;;;;;x
d_gangreljusticar;Clan Gangrel;;;;;;;;;;;;;x
d_malkavianjusticar;Clan Malkavian;;;;;;;;;;;;;x
d_nosferatujusticar;Clan Nosfeartu;;;;;;;;;;;;;x
d_toreadorjusticar;Clan Toreador;;;;;;;;;;;;;x
d_tremerejusticar;Clan Tremere;;;;;;;;;;;;;x
d_ventruejusticar;Clan Ventrue;;;;;;;;;;;;;x
d_sabbatblackhand;the Black Hand;;;;;;;;;;;;;x
sabbat_group;Sabbat;;;;;;;;;;;;;x
sabbat;Sabbat;;;;;;;;;;;;;x
